order_id,order_date,status,customer_id,email,address,city,state,postalcode,num_watermelons,num_othermelons,subtotal,tax,order_total
115,05/10/2014,Canceled,922,janet@leenti.info,18943 Clove Street,Rocklin,IN,25343,10,0,22.75,1.36,27.32
116,04/29/2014,New,128,emily@skilith.info,7364 Mifflin Park,Bellflower,NJ,65865,104,0,361.50,21.69,385.42
124,05/01/2014,Processing,514,kimberly@gigabox.edu,31798 Red Cloud Crossing,Calistoga,AZ,50800-6316,107,29,296.50,17.79,326.24
125,05/05/2014,New,5,beverly@browsebug.org,0251 8th Hill,Mammoth Lakes,TX,70521,13,0,45.25,2.71,66.38
127,05/12/2014,New,79,helen@thoughtbeat.org,21504 Schiller Park,Cotati,IL,20215,11,0,25.50,1.53,41.28
128,05/02/2014,Out for Delivery,364,jessica@tazzy.edu,7561 Express Point,Glendale,DE,48694-4408,23,6,65.94,3.96,82.70
133,05/09/2014,Canceled,623,margaret@tagopia.info,72934 Kropf Avenue,Morgan Hill,RI,22622,42,0,120.75,7.25,145.00
134,05/02/2014,Delivered,224,jennifer@leenti.edu,5 Clarendon Terrace,Maywood,WA,06871-0746,15,0,2264.75,135.88,2413.41
136,05/07/2014,Out for Delivery,89,lillian@wordtune.edu,52 Towne Avenue,Alturas,RI,46964,38,0,97.50,5.85,107.93
137,05/07/2014,Out for Delivery,396,carol@fatz.name,4372 Bobwhite Drive,Stockton,MN,63318-4588,54,2,138.48,8.31,155.79
148,04/29/2014,Out for Delivery,885,lois@jabberstorm.mil,73521 Village Green Crossing,Rohnert Park,VT,06080-7932,11,4,34.75,2.08,46.30
156,04/26/2014,Out for Delivery,809,jacqueline@livepath.com,47196 Bultman Court,Hanford,NV,85278-3747,8,0,21.00,1.26,39.24
158,05/11/2014,Delivered,278,ann@twitterlist.gov,07352 Scoville Drive,Lodi,IL,68376,18,12,86.50,5.19,96.00
161,04/30/2014,Canceled,150,andrea@skalith.gov,673 Cottonwood Circle,Claremont,NC,13207,50,0,172.00,10.32,189.82
164,04/26/2014,Out for Delivery,527,judy@devify.biz,214 Sugar Pass,Hillsborough,NC,95991-6449,19,1,78.24,4.69,101.69
165,04/24/2014,Processing,926,ann@voonix.net,694 Scott Trail,Fresno,RI,05843-0833,15,6,52.50,3.15,58.85
171,04/24/2014,Canceled,33,louise@divape.net,03 Gulseth Street,Beverly Hills,VT,18564-2241,15,0,37.50,2.25,53.14
172,05/19/2014,Processing,359,louise@zoonder.info,962 Superior Court,Citrus Heights,IA,15367-3254,0,5,4.95,0.30,19.38
178,05/18/2014,Delivered,855,jessica@agimba.net,64392 Starling Avenue,Duarte,WY,87991,18,0,45.00,2.70,65.28
181,05/19/2014,New,466,carol@roomm.mil,1423 Packers Center,Buena Park,WY,02152,1,0,4.00,0.24,18.67
183,04/23/2014,Processing,360,diana@realpoint.name,419 Linden Circle,Stockton,MI,57205,102,0,252.00,15.12,284.24
186,05/14/2014,Delivered,813,anne@meezzy.biz,65 Corscot Circle,Holtville,NV,98058,176,0,437.50,26.25,470.73
189,05/16/2014,Delivered,12,betty@livepath.gov,9370 Old Shore Court,Oxnard,MA,21179-2745,17,0,49.00,2.94,67.61
192,05/11/2014,Processing,481,deborah@rhyloo.gov,69135 Jenifer Hill,Nevada City,ID,04419,76,15,234.00,14.04,260.37
193,05/06/2014,Delivered,563,lori@eamia.com,97 Marquette Lane,Palm Desert,NV,52501,55,17,145.41,8.72,156.61
200,04/25/2014,New,296,shirley@babbleset.info,48035 Helena Alley,Gridley,MT,69695,9,1,21.00,1.26,24.78
211,04/23/2014,Canceled,80,lillian@dabshots.biz,5 Ridgeview Terrace,Big Bear Lake,WA,08360,20,10,62.50,3.75,79.53
212,05/16/2014,Processing,23,karen@devbug.gov,37962 Hagan Pass,Belmont,ME,86807,69,0,154.00,9.24,182.92
220,04/25/2014,Processing,987,margaret@mita.info,2386 Hermina Place,La Palma,RI,34285-9280,7,0,16.00,0.96,25.61
226,04/26/2014,Out for Delivery,816,jessica@quatz.name,1890 2nd Pass,Sutter Creek,WV,20639,10,0,25.00,1.50,30.67
231,05/07/2014,Canceled,711,jane@vinder.biz,82 Golf View Alley,Santa Clarita,ID,37863-5326,18,7,56.93,3.42,71.09
235,05/06/2014,Delivered,12,betty@livepath.gov,9370 Old Shore Court,Oxnard,MA,21179-2745,16,0,36.00,2.16,51.84
237,05/16/2014,Canceled,914,catherine@yombu.edu,18952 Welch Trail,Chula Vista,IA,37781,38,0,124.75,7.48,134.26
239,05/21/2014,Out for Delivery,243,donna@blogpad.gov,87192 Corry Lane,Thousand Oaks,ME,72176-5951,82,0,208.25,12.49,229.19
243,05/16/2014,Delivered,583,joan@skinder.org,96215 Hermina Park,Paramount,FL,21634-0338,58,5,151.45,9.09,162.98
245,04/29/2014,New,145,doris@geba.com,1735 Manley Court,Palos Verdes Estates,IA,56081-0588,15,0,41.25,2.48,59.79
250,05/09/2014,New,855,jessica@agimba.net,780 Holy Cross Crossing,St. Helena,UT,40088,65,9,193.96,11.64,215.13
251,05/13/2014,Processing,722,evelyn@gabtune.name,310 Anhalt Crossing,Lemon Grove,KS,09116,6,6,48.00,2.88,55.65
252,05/06/2014,Delivered,971,nancy@eire.mil,087 Spaight Street,Emeryville,ND,61304-0604,124,0,310.00,18.60,336.49
253,05/14/2014,Processing,714,sharon@leexo.com,753 Bluestem Road,Inglewood,SD,44173,72,0,180.00,10.80,206.10
254,05/02/2014,Canceled,375,kelly@gabspot.edu,237 Darwin Place,Lodi,KY,68280-9662,14,0,46.50,2.79,54.72
256,05/17/2014,Processing,285,cheryl@meeveo.edu,3 Cambridge Crossing,Madera,KY,91867,49,0,122.50,7.35,133.15
259,04/23/2014,Out for Delivery,847,nicole@photobean.gov,91 Lyons Park,Williams,MA,95173,0,100,121.55,7.29,137.99
260,05/21/2014,Delivered,655,melissa@skyba.name,630 Mendota Pass,Maricopa,SC,46780,99,0,238.75,14.32,270.95
261,05/18/2014,Out for Delivery,554,alice@dynabox.mil,6 Larry Circle,Twentynine Palms,VT,07959,10,0,25.00,1.50,34.77
263,05/21/2014,New,74,jennifer@myworks.org,5804 Talisman Parkway,Dixon,WY,16040-9121,27,0,67.50,4.05,75.89
265,05/16/2014,Processing,934,margaret@dynava.mil,859 Hollow Ridge Terrace,Paradise,OR,38707,212,0,527.75,31.66,578.94
270,05/06/2014,Canceled,564,sarah@chatterbridge.name,0 Center Street,American Canyon,SC,19618-7030,17,0,37.50,2.25,48.19
271,04/26/2014,Processing,319,gloria@quinu.name,2157 Briar Crest Point,Burbank,AK,15407-3781,16,8,52.00,3.12,71.59
275,05/05/2014,Processing,979,nicole@realpoint.com,361 School Place,Orland,IA,86376-8910,12,9,72.75,4.37,95.25
285,04/22/2014,Out for Delivery,14,marilyn@twimm.com,5063 Kingsford Drive,Montague,ND,06713-5858,36,83,546.50,32.79,590.51
286,05/01/2014,New,914,catherine@yombu.edu,6 Dahle Hill,Loyalton,RI,16509,3,0,8.25,0.49,15.74
288,05/15/2014,Canceled,56,maria@blogtag.name,7908 Merchant Park,Alturas,SD,68730-0324,60,46,194.04,11.64,214.29
289,05/05/2014,Processing,887,michelle@rhynoodle.com,961 Rusk Alley,Stanton,NH,77022,23,0,63.00,3.78,78.28
292,04/29/2014,Out for Delivery,13,cynthia@rhyzio.name,96 Oakridge Junction,Chico,OR,76166-6587,0,83,85.19,5.11,96.01
294,04/27/2014,Out for Delivery,101,deborah@kwideo.org,6 Tomscot Park,Alhambra,SC,29340-6158,15,8,68.00,4.08,91.52
295,04/29/2014,Out for Delivery,25,annie@rhybox.mil,98236 Chive Drive,San Dimas,OR,62296-3527,19,9,65.91,3.95,72.67
304,05/04/2014,Canceled,902,amy@twimbo.net,6 Moose Drive,San Mateo,SD,11863,0,4,12.00,0.72,26.61
313,05/18/2014,Delivered,477,evelyn@yacero.biz,51728 Ridgeview Parkway,Dos Palos,TX,94753,42,10,119.50,7.17,141.81
314,05/02/2014,Canceled,45,maria@jumpxs.org,95 Merrick Point,Laguna Hills,MD,98284,6,9,32.00,1.92,39.82
315,05/04/2014,Out for Delivery,18,christine@skimia.name,603 Saint Paul Circle,Point Arena,ID,73893,23,0,65.50,3.93,82.81
317,05/15/2014,Canceled,457,julia@muxo.gov,4501 Buell Drive,Huntington Beach,IN,06210-2518,6,1,16.50,0.99,34.68
320,04/26/2014,Out for Delivery,103,rachel@topiczoom.org,50 Anzinger Avenue,Sierra Madre,AK,39887-9298,98,0,269.50,16.17,290.31
326,05/12/2014,Delivered,128,emily@skilith.info,7364 Mifflin Park,Bellflower,NJ,65865,1,0,2.25,0.14,9.10
330,04/22/2014,Canceled,496,diane@jaxnation.net,5039 Maple Center,Capitola,SC,10485,49,4,104.46,6.27,121.22
332,04/28/2014,New,534,dorothy@oyoba.org,3689 Darwin Junction,Orange,AK,08539-1415,10,18,113.50,6.81,137.32
333,05/03/2014,Delivered,500,donna@livefish.mil,7 Commercial Trail,Redwood City,MT,39501-3001,98,0,288.00,17.28,322.31
344,04/25/2014,Canceled,605,judith@eire.gov,4 Cambridge Drive,Lemon Grove,MT,44460,47,0,130.00,7.80,145.55
350,05/21/2014,Canceled,290,linda@aimbu.com,306 Hintze Terrace,Yorba Linda,DE,87210,47,0,120.50,7.23,135.68
352,05/10/2014,New,204,denise@trunyx.org,0637 Mariners Cove Place,McFarland,NE,31821,9,0,20.25,1.21,39.48
355,05/21/2014,Out for Delivery,250,elizabeth@cogidoo.org,13976 Kropf Pass,Belvedere,NV,62754-1073,13,9,68.50,4.11,82.26
357,05/08/2014,Delivered,438,donna@voolith.net,49286 Kings Hill,Dorris,NE,03236-3246,50,0,127.00,7.62,151.24
361,05/03/2014,Delivered,566,joyce@tagcat.info,7415 Ramsey Lane,Pacifica,AZ,94484-8107,26,52,347.75,20.86,377.84
373,04/22/2014,Out for Delivery,538,lillian@kwimbee.org,54 Sachtjen Avenue,Grass Valley,WI,78087-1384,95,0,291.25,17.47,311.31
374,04/24/2014,Delivered,561,carol@eire.edu,6130 Vernon Lane,South Pasadena,KY,21602-6029,24,6,87.50,5.25,104.91
376,04/24/2014,Processing,822,janice@skaboo.org,753 Sycamore Place,Inglewood,LA,77582-0890,8,0,20.00,1.20,31.86
383,04/26/2014,Out for Delivery,328,rose@kaymbo.com,34 Leroy Crossing,Compton,WI,80225,145,0,363.00,21.78,391.56
390,05/09/2014,Delivered,721,norma@blogtag.gov,643 West Park,Oakdale,MS,67929-6596,9,0,20.00,1.20,36.80
391,05/15/2014,Out for Delivery,211,judith@realfire.com,139 Service Circle,Cathedral City,LA,50183,1,0,4.25,0.26,10.81
393,05/05/2014,New,516,joan@fivebridge.info,83 Wayridge Center,Rocklin,MD,04893-8751,41,0,160.50,9.63,180.37
394,05/17/2014,Out for Delivery,479,kimberly@centidel.org,63180 Prentice Avenue,Grand Terrace,HI,71012-2275,14,4,51.50,3.09,66.09
397,04/25/2014,Processing,79,helen@thoughtbeat.org,90413 Dorton Parkway,Diamond Bar,VA,59064-2434,88,8,249.00,14.94,282.02
401,05/18/2014,Out for Delivery,174,phyllis@jayo.biz,96705 Roxbury Way,Azusa,UT,00240-8466,6,16,83.50,5.01,103.33
407,04/24/2014,Delivered,26,theresa@roomm.biz,7 Susan Road,Madera,SD,30939,9,7,41.75,2.50,62.63
410,04/22/2014,Out for Delivery,223,kimberly@ailane.net,96 Hazelcrest Plaza,Calistoga,NJ,17519,10,0,25.00,1.50,32.05
413,04/22/2014,Delivered,177,deborah@zooveo.com,87 Rutledge Hill,Rosemead,IN,46973-1277,1,0,2.25,0.14,15.27
425,05/17/2014,Processing,476,linda@tagcat.info,6 Rieder Parkway,Rancho Mirage,NE,51187,10,9,43.00,2.58,56.80
432,04/30/2014,Processing,59,tammy@oodoo.info,013 Pawling Circle,San Jose,ID,69843-3784,24,0,56.75,3.40,64.66
438,05/02/2014,New,167,marie@fliptune.org,82 Manley Street,Escalon,NH,19105,4,0,12.00,0.72,28.09
442,04/30/2014,Delivered,834,anne@devcast.name,3 Moland Pass,Newman,CA,72250-9510,15,0,37.75,2.27,59.77
445,05/01/2014,Canceled,923,sandra@gabvine.gov,24937 Cottonwood Circle,Rohnert Park,NM,57448-6113,0,11,38.97,2.34,57.33
448,05/19/2014,Processing,108,donna@cogibox.edu,983 Loomis Court,Citrus Heights,SD,40847,95,6,215.75,12.95,233.35
451,05/10/2014,Out for Delivery,900,jean@mycat.edu,9 Division Terrace,Palo Alto,AZ,25268-8025,33,8,120.00,7.20,137.82
453,05/11/2014,Out for Delivery,314,norma@dabvine.info,5 Clarendon Junction,Loomis,WY,03701,6,0,15.00,0.90,26.37
454,05/04/2014,Canceled,434,betty@tavu.info,5 Lerdahl Park,Chula Vista,AK,39313,145,0,417.50,25.05,445.18
458,05/17/2014,Canceled,151,catherine@blogspan.name,257 Kingsford Court,South Pasadena,VT,13148,0,2,4.00,0.24,24.02
460,05/05/2014,Canceled,691,bonnie@feedfire.name,5 Lukken Lane,Cerritos,NY,54888,2,0,4.00,0.24,19.49
461,05/17/2014,Processing,880,gloria@feedmix.gov,2678 Randy Trail,Sutter Creek,NY,11148,86,0,193.00,11.58,218.38
468,05/19/2014,Processing,426,mary@ainyx.edu,0 Stephen Point,Hesperia,WI,56455,20,0,53.75,3.23,74.41
471,04/26/2014,New,572,joan@thoughtstorm.info,726 Sundown Avenue,Los Banos,VA,65885-9262,45,0,115.75,6.94,134.93
475,05/08/2014,Delivered,808,linda@tagtune.edu,302 Pearson Center,Willows,OK,42621,26,14,101.75,6.10,109.91
476,05/10/2014,Delivered,154,shirley@dynava.mil,86790 Sommers Crossing,San Jacinto,WV,65352-4342,29,0,71.00,4.26,80.12
477,04/29/2014,Out for Delivery,706,catherine@browseblab.name,759 Stuart Road,Oroville,AL,79324-0883,9,0,22.50,1.35,31.12
481,05/01/2014,Out for Delivery,906,phyllis@youspan.edu,8305 Nancy Parkway,San Juan Capistrano,CO,88428-4564,6,0,510.00,30.60,546.97
485,05/04/2014,Canceled,425,joan@ooba.net,9 Havey Center,El Segundo,VA,73654-1327,88,0,220.00,13.20,245.81
490,05/01/2014,Delivered,650,ruby@edgewire.biz,7913 Haas Place,Clovis,VA,97544-1874,8,0,20.00,1.20,37.88
498,05/04/2014,Processing,25,annie@rhybox.mil,98236 Chive Drive,San Dimas,OR,62296-3527,94,0,235.00,14.10,265.72
499,04/21/2014,Delivered,269,stephanie@zoovu.info,42713 Moose Street,Windsor,NM,11454,42,0,107.50,6.45,124.01
505,04/22/2014,Out for Delivery,784,rebecca@jaloo.biz,4 Maryland Point,Pleasant Hill,IA,50268,18,59,104.41,6.26,126.89
510,04/27/2014,Delivered,226,evelyn@omba.edu,41073 Sycamore Parkway,Willits,IN,47920,98,0,289.25,17.36,311.40
511,05/08/2014,Processing,333,patricia@dynava.com,69241 Pine View Road,Atascadero,AZ,25432,11,18,69.22,4.15,88.42
514,05/04/2014,Processing,864,julia@camimbo.org,70 Sauthoff Street,Porterville,MT,80289,79,0,227.00,13.62,260.22
521,05/06/2014,New,738,ashley@yakidoo.gov,83 Randy Parkway,Hillsborough,IN,40627,17,1,50.50,3.03,71.64
523,05/11/2014,Canceled,638,linda@skinix.info,9 Delaware Point,Port Hueneme,AR,36192-6556,5,5,40.00,2.40,55.40
525,05/15/2014,Out for Delivery,957,helen@wikizz.net,5649 Butternut Alley,Maricopa,IL,75049-3975,6,30,127.50,7.65,144.68
527,04/27/2014,Delivered,609,anna@meevee.mil,8 Menomonie Drive,Salinas,OR,72525,8,0,24.00,1.44,37.79
528,04/29/2014,Processing,387,amanda@devify.edu,91 Ryan Court,Greenfield,LA,28970-1756,20,8,56.42,3.39,77.43
530,05/16/2014,Processing,617,brenda@yacero.com,36072 Messerschmidt Park,Los Banos,VA,89812,46,0,159.75,9.58,186.25
538,05/17/2014,Delivered,987,margaret@mita.info,2386 Hermina Place,La Palma,RI,34285-9280,5,0,10.00,0.60,24.39
540,05/12/2014,Processing,598,wanda@teklist.edu,45 Doe Crossing Street,Avalon,MT,71422-5294,5,0,14.50,0.87,19.93
541,05/13/2014,New,737,sara@devcast.gov,24 Fulton Place,Perris,ID,86055,28,5,75.50,4.53,99.76
546,04/27/2014,Out for Delivery,463,phyllis@tagopia.info,5720 Meadow Ridge Court,Brawley,NY,76861,5,18,55.94,3.36,73.15
547,04/21/2014,Canceled,633,elizabeth@eamia.gov,831 Haas Circle,San Bernardino,OR,80134-1643,32,0,83.00,4.98,95.24
551,04/25/2014,Canceled,467,donna@bubblemix.gov,49 Lukken Terrace,Waterford,OK,88776,5,14,43.90,2.63,62.64
567,05/06/2014,Out for Delivery,13,cynthia@rhyzio.name,96 Oakridge Junction,Chico,OR,76166-6587,13,20,60.00,3.60,68.30
572,04/23/2014,Canceled,132,annie@zoomcast.biz,46239 Little Fleur Way,Lathrop,DE,83758-8731,7,0,262.00,15.72,280.92
574,05/08/2014,Processing,883,kimberly@bubblebox.com,68 Mariners Cove Terrace,Clayton,HI,14376,24,8,72.75,4.37,89.43
575,05/16/2014,Canceled,483,judith@tanoodle.mil,063 Towne Park,Belvedere,SD,35844,16,0,34.75,2.08,45.27
579,04/26/2014,Out for Delivery,568,irene@teklist.com,8943 Dwight Center,Montclair,KS,19207,20,0,54.00,3.24,68.80
582,05/02/2014,Processing,744,cynthia@browsedrive.org,5342 Hanover Center,Mission Viejo,UT,34550-5596,35,0,68.25,4.09,89.30
583,05/14/2014,Canceled,911,sarah@centidel.info,87612 American Ash Court,Morro Bay,HI,72659,12,8,43.00,2.58,64.88
586,04/27/2014,New,839,kathy@twitterlist.mil,063 Lawn Street,Mendota,SD,55005-6591,140,5,354.70,21.28,381.48
590,05/14/2014,New,918,brenda@vinte.biz,97150 Clyde Gallagher Circle,San Marino,LA,08708,10,0,29.00,1.74,47.21
591,05/10/2014,Out for Delivery,293,jacqueline@buzzster.net,0 Moulton Place,Del Mar,PA,39385-6039,11,0,31.50,1.89,41.98
594,05/11/2014,Delivered,310,andrea@myworks.info,7 Sage Avenue,Apple Valley,CO,28877,170,0,409.50,24.57,453.00
601,05/05/2014,Out for Delivery,3,donna@eamia.mil,7954 Cherokee Circle,Angels Camp,FL,28025-7532,100,74,371.75,22.30,405.81
603,05/13/2014,Processing,767,angela@zoombox.gov,16594 Surrey Crossing,California City,NH,09434,12,0,35.00,2.10,56.72
607,05/18/2014,Delivered,395,debra@zoombeat.info,9238 Westport Road,Fowler,MN,57326,3,0,7.50,0.45,14.55
611,04/24/2014,Processing,392,karen@fatz.info,0 Declaration Drive,San Dimas,PA,11846,3,0,7.50,0.45,21.81
613,05/06/2014,Delivered,306,joyce@skyvu.name,0 Merrick Street,Woodland,AL,61457,141,0,369.25,22.15,399.70
614,05/01/2014,Delivered,603,barbara@wikizz.org,4621 Springs Circle,Brentwood,AK,44112,28,71,140.29,8.42,159.55
619,05/19/2014,Delivered,26,theresa@roomm.biz,7 Susan Road,Madera,SD,30939,28,8,85.00,5.10,102.81
622,05/01/2014,Delivered,406,teresa@geba.gov,938 Victoria Circle,Piedmont,ID,87403,111,0,242.00,14.52,273.20
625,05/03/2014,Delivered,608,sara@ailane.gov,9325 Bunting Pass,San Rafael,NC,27685-2893,104,0,287.75,17.27,307.95
627,04/29/2014,Canceled,151,catherine@blogspan.name,257 Kingsford Court,South Pasadena,VT,13148,69,0,173.25,10.39,194.03
634,04/26/2014,Delivered,140,kathryn@livez.net,79643 Westridge Place,Monrovia,MN,35176,30,0,74.50,4.47,93.61
635,04/25/2014,Out for Delivery,991,michelle@twinder.org,7329 Nobel Drive,El Centro,NH,87593,8,0,20.00,1.20,24.85
640,05/03/2014,Delivered,4,lisa@flashpoint.edu,963 Eagan Pass,Morro Bay,CO,91890-7022,33,19,179.50,10.77,201.20
642,04/29/2014,Out for Delivery,600,ruby@rhynoodle.org,12805 Hooker Hill,Fort Jones,NV,61648,24,3,64.47,3.87,87.81
648,05/11/2014,Processing,824,rachel@realcube.mil,2693 Westridge Trail,Yucca Valley,NY,41193-0785,9,72,198.00,11.88,222.64
650,05/17/2014,Out for Delivery,316,anne@vinte.name,94 Transport Drive,Rancho Mirage,UT,36919,52,23,208.00,12.48,234.66
651,05/03/2014,Delivered,166,gloria@eire.gov,8169 Derek Point,Suisun City,DE,42550-6940,56,22,172.00,10.32,201.75
652,05/16/2014,Processing,184,joyce@katz.biz,068 Sage Parkway,Amador City,PA,89748,8,0,21.00,1.26,36.89
660,04/28/2014,Canceled,827,virginia@oyoloo.biz,9185 Larry Road,Holtville,AZ,33814,1,0,3.50,0.21,14.83
661,05/12/2014,Canceled,116,christine@twimm.com,8 Loftsgordon Alley,San Juan Capistrano,AZ,54684-8223,10,0,25.00,1.50,40.58
674,04/24/2014,New,760,lois@browsebug.net,9 Butternut Avenue,El Monte,MS,09967,10,0,30.00,1.80,34.35
675,05/03/2014,Out for Delivery,279,sharon@oyondu.gov,5921 Brentwood Park,Truckee,FL,93261,5,7,19.43,1.17,22.79
677,04/22/2014,Processing,231,cheryl@lajo.com,6978 Logan Avenue,Santee,UT,02860,17,0,530.00,31.80,573.54
678,05/06/2014,Processing,272,sarah@babbleset.gov,9 Namekagon Court,Lathrop,AR,28162-3580,88,9,247.91,14.87,280.87
680,05/17/2014,Canceled,378,julia@digitube.gov,76 Burning Wood Court,Morro Bay,NH,51289,8,0,18.50,1.11,26.81
683,04/22/2014,Processing,863,theresa@zoonder.biz,61 Merchant Way,Belvedere,ND,37581-2190,2,0,5.00,0.30,24.54
686,04/26/2014,Canceled,272,sarah@babbleset.gov,9 Namekagon Court,Lathrop,AR,28162-3580,0,7,31.50,1.89,46.98
688,04/24/2014,New,847,nicole@photobean.gov,91 Lyons Park,Williams,MA,95173,11,0,37.75,2.27,56.78
699,05/05/2014,Delivered,132,annie@zoomcast.biz,46239 Little Fleur Way,Lathrop,DE,83758-8731,0,7,6.93,0.42,12.63
700,05/19/2014,Out for Delivery,688,julia@geba.org,513 Packers Avenue,Fountain Valley,OK,25791,13,8,61.50,3.69,79.78
703,05/18/2014,Processing,546,doris@reallinks.name,4 Moland Road,San Juan Capistrano,AL,61856-1515,65,0,188.50,11.31,203.72
707,05/12/2014,Out for Delivery,777,annie@voolith.info,820 Stoughton Center,Arcadia,NC,34381,10,0,25.00,1.50,29.98
709,05/19/2014,Out for Delivery,409,ashley@quimba.biz,47125 Manitowish Lane,Rancho Cordova,NE,44563-4506,8,0,18.50,1.11,30.87
714,05/03/2014,Delivered,676,teresa@rhyloo.mil,490 Barby Trail,Clovis,NJ,69251,19,0,57.00,3.42,64.21
722,05/05/2014,Delivered,663,deborah@dabshots.info,41 Aberg Road,Culver City,MI,21439,17,0,34.00,2.04,39.77
729,04/27/2014,Canceled,285,cheryl@meeveo.edu,3 Cambridge Crossing,Madera,KY,91867,32,0,68.25,4.09,74.61
734,05/18/2014,Processing,818,ruth@viva.edu,3 Brentwood Circle,Colma,SC,05119-7083,10,0,26.50,1.59,46.88
735,05/15/2014,Processing,152,jane@photolist.gov,6 Ronald Regan Circle,Escondido,VA,36070,4,0,10.00,0.60,30.13
738,05/03/2014,Processing,665,mary@midel.info,8261 Elka Center,Beaumont,MA,46314,13,98,279.25,16.75,315.50
740,04/29/2014,Delivered,966,julia@skaboo.net,83674 Delladonna Pass,Gonzales,GA,73203-4365,107,2,229.25,13.75,255.92
744,05/13/2014,Out for Delivery,969,ashley@brainverse.net,96532 Lunder Circle,Norwalk,MS,11792,20,9,66.75,4.00,80.55
746,04/23/2014,New,406,teresa@geba.gov,38079 Truax Point,Lemon Grove,IA,53287-8571,27,0,69.00,4.14,91.29
758,05/08/2014,Canceled,635,judy@skyble.biz,825 Namekagon Street,Piedmont,MO,49969-1992,0,9,8.91,0.53,29.24
759,05/05/2014,New,969,ashley@brainverse.net,96532 Lunder Circle,Norwalk,MS,11792,5,0,20.00,1.20,40.38
764,04/23/2014,Delivered,977,betty@janyx.gov,12370 Westport Junction,Hercules,SD,26089,66,0,155.00,9.30,168.01
767,05/13/2014,Processing,37,ruth@aivee.name,718 Morning Center,Claremont,RI,77817-6909,2,0,5.00,0.30,18.72
